"player","oapm","dapm","apm","poss"
"Aaron Wiggins",16.4539341222668,-12.855186050748,3.59874807151883,17907
"JT Thor",10.021546185121,-6.44160836100558,3.57993782411544,8220
"Karl-Anthony Towns",15.204292942647,-11.6323248428627,3.57196809978428,22645
"Immanuel Quickley",10.4891489492476,-6.98145776217362,3.507691187074,21512
"Scottie Barnes",12.0746424583886,-8.60049700412586,3.47414545426274,28683
"Sam Hauser",13.6801829259203,-10.2409276144384,3.43925531148189,18549
"Tyler Herro",16.3600133396163,-12.9303265911401,3.42968674847627,26145
"Kris Murray",9.45409829832605,-6.0456314643342,3.40846683399185,9855
"Ja'Kobe Walter",14.7089328651259,-11.3085484818276,3.40038438329832,4569
"Marvin Bagley III",12.0092222580406,-8.67186614086589,3.3373561171747,9669
"Tyrese Maxey",18.0689213109786,-14.7706112513505,3.29831005962807,26766
"Edmond Sumner",13.856486138657,-10.5685382574178,3.2879478812392,3076
"Jalen Smith",13.692463105882,-10.4307730885353,3.26169001734669,14080
"Jakob Poeltl",12.9286171701168,-9.67343208860971,3.25518508150714,20468
"Darius Garland",17.725546725067,-14.5322946156936,3.19325210937343,27179
"Christian Braun",13.1769329323105,-10.0097907207547,3.16714221155576,22719
"Cam Spencer",17.7171916318613,-14.5872354690432,3.12995616281805,1063
"Ty Jerome",16.1337288975344,-13.0071956762627,3.12653322127172,9299
"Kevin Porter Jr.",10.6576498434919,-7.53254709539669,3.12510274809522,14525
"Wendell Carter Jr.",10.8449320499609,-7.7254275632692,3.11950448669167,19687
"Brook Lopez",9.95041849314122,-6.83579077186647,3.11462772127476,30800
"LaMelo Ball",17.4878812982031,-14.4267856718101,3.06109562639302,14792
"Evan Mobley",9.94582389594159,-6.92484328673213,3.02098060920946,26374
"Jabari Walker",12.3768689376757,-9.37155657383556,3.00531236384013,12653
"Thomas Bryant",13.4463148743001,-10.4560754950585,2.99023937924161,10366
"Landry Shamet",11.9490443051409,-8.97965849737124,2.96938580776966,9566
"Walker Kessler",10.3018400360511,-7.33642269335335,2.96541734269774,20597
"Willy Hernangomez",11.1088465518203,-8.15080873337875,2.95803781844158,1956
"Jalen Suggs",10.129293512759,-7.18197153538741,2.94732197737162,17635
"Nikola Jović",11.3722061427298,-8.45552685034906,2.91667929238069,9150
"Nickeil Alexander-Walker",12.4343756542624,-9.64243437570945,2.79194127855293,20111
"Cody Martin",10.2499338197063,-7.46490002071824,2.78503379898802,8470
"Jared McCain",13.5370088030025,-10.7598454815991,2.77716332140341,2393
"Jamal Murray",17.0193963352222,-14.2636840031683,2.75571233205394,26365
"Naji Marshall",11.6054332801689,-8.8497844837922,2.75564879637667,20640
"Desmond Bane",13.8554289656677,-11.1602254973098,2.69520346835794,23393
"Kentavious Caldwell-Pope",10.7470571761293,-8.15238618617291,2.59467098995643,28740
"Larry Nance Jr.",10.7609325536516,-8.19588531751592,2.5650472361357,12662
"Josh Hart",13.8518083604759,-11.2942953079194,2.55751305255652,32565
"Alec Burks",12.4667469431697,-9.91035226515697,2.55639467801276,13212
"Mike Conley",15.0042904019101,-12.4486184141985,2.55567198771158,24435
"De'Andre Hunter",14.601463393775,-12.054203622474,2.54725977130098,23468
"Coby White",14.6502789982507,-12.1048017945473,2.54547720370339,29434
"Cory Joseph",13.5501119250649,-11.061947714791,2.48816421027397,8713
"Isaiah Wong",2.64932133813966,-0.183744127242735,2.46557721089693,1088
"Vasilije Micic",11.3558138631347,-8.9429144985638,2.41289936457088,7904
"Dru Smith",4.64316535535187,-2.24260914937283,2.40055620597904,2286
"Jalen Wilson",13.9947022819527,-11.6060715994351,2.38863068251763,10711
"Ausar Thompson",10.1868314762636,-7.8139873037366,2.37284417252703,12228
"Luke Kennard",15.6862046325347,-13.3629543874565,2.32325024507819,15861
"Anthony Lamb",12.0602952535808,-9.74061479305879,2.319680460522,5009
"David Duke Jr.",11.4475305588633,-9.14133680448669,2.30619375437663,1304
"Dyson Daniels",11.4150499896846,-9.12819112290121,2.28685886678343,21005
"T.J. McConnell",12.5203941780825,-10.2385199226717,2.28187425541079,17973
"Ashton Hagans",11.1079821933487,-8.87188295564446,2.23609923770422,1247
"Julius Randle",13.4451223514236,-11.2253654751481,2.21975687627547,26776
